file_number,file_name,author,title,file_size_kb,encoding,extension
61,61Тодор Чаловски - Ѕидање сон.txt,Тодор Чаловски,Ѕидање сон,286.27,UTF-8-SIG,.txt
62,62 Атанас Вангелов - Изучување на молкот.txt,Атанас Вангелов,Изучување на молкот,198.93,UTF-8-SIG,.txt
63,63 Ефтим Клетников - Ангелот од Курбиново.txt,Ефтим Клетников,Ангелот од Курбиново,207.69,UTF-8-SIG,.txt
64,64 Петре Бакевски - Небесен оган.txt,Петре Бакевски,Небесен оган,308.12,UTF-8-SIG,.txt
65,65 Чачански Крсте На небото книга.txt,Чачански Крсте,На небото книга,441.67,UTF-8-SIG,.txt
66,66 Манчев Васе Шупливи ореви.txt,Манчев Васе,Шупливи ореви,496.71,UTF-8-SIG,.txt
67,67 Ристо Лазаров - Жива Рана.txt,Ристо Лазаров,Жива Рана,165.35,UTF-8-SIG,.txt
68,68 Крстески Трајче Силјан повторно лета.txt,Крстески Трајче,Силјан повторно лета,225.49,UTF-8-SIG,.txt
69,69 Колбе Кица Снегот во Казабланка.txt,Колбе Кица,Снегот во Казабланка,1412.12,UTF-8-SIG,.txt
70,70 Михајловски Драги - Избор.txt,Михајловски Драги,Избор,805.5,UTF-8-SIG,.txt
71,71 Катица Ќулафкова - Ерато.txt,Катица Ќулафкова,Ерато,302.03,UTF-8-SIG,.txt
72,72 Глигор Стојковски - Капката оловна вода.txt,Глигор Стојковски,Капката оловна вода,163.05,UTF-8-SIG,.txt
73,73 Милош Линдро - Раз-градба.txt,Милош Линдро,Раз-градба,88.28,UTF-8-SIG,.txt
74,74 Милован Стефановски - Високо вода.txt,Милован Стефановски,Високо вода,132.22,UTF-8-SIG,.txt
75,75 Весна Ацевска - Мартинки.txt,Весна Ацевска,Мартинки,128.11,UTF-8-SIG,.txt
76,76 Лилјана Дирјан - Светот мојот брат.txt,Лилјана Дирјан,Светот мојот брат,259.52,UTF-8-SIG,.txt
77,77 Зоран Анчевски - Избрани Песни.txt,Зоран Анчевски,Избрани Песни,118.55,UTF-8-SIG,.txt
79,79 Јордан Даниловски - Коба.txt,Јордан Даниловски,Коба,136.81,UTF-8-SIG,.txt
80,80 Прокопиев Александар Избрани раскази.txt,Прокопиев Александар,Избрани раскази,614.84,UTF-8-SIG,.txt
81,81 Србиновски Младен Приказни од Долна земја.txt,Србиновски Младен,Приказни од Долна земја,1136.45,UTF-8-SIG,.txt
82,82 Иван Џепаровски - Волја за мисла.txt,Иван Џепаровски,Волја за мисла,125.98,UTF-8-SIG,.txt
83,83 Славе Ѓ. Димовски - Поле Бојно Поле.txt,Славе Ѓ. Димовски,Поле Бојно Поле,146.17,UTF-8-SIG,.txt
85,85 Миневски Блаже Нишан.txt,Миневски Блаже,Нишан,1044.59,UTF-8-SIG,.txt
86,86 Лафазановски Ермис Егзотична кантата.txt,Лафазановски Ермис,Егзотична кантата,483.27,UTF-8-SIG,.txt
87,87 Андоновски Венко Папокот на светот.txt,Андоновски Венко,Папокот на светот,885.21,UTF-8-SIG,.txt
88,88 Лидија Димковска - Идеална тежина.txt,Лидија Димковска,Идеална тежина,215.39,UTF-8-SIG,.txt
89,89 Никола Маџиров - Начин на постоење.txt,Никола Маџиров,Начин на постоење,82.59,UTF-8-SIG,.txt
9,9 Стале Попов - Калеш Анѓа.txt,Стале Попов,Калеш Анѓа,486.52,UTF-8-SIG,.txt
90,90 Смилевски Гоце Разговор со Спиноза.txt,Смилевски Гоце,Разговор со Спиноза,491.21,UTF-8-SIG,.txt
91,91 Јовица Тасевски - Синтакса на светлината.txt,Јовица Тасевски,Синтакса на светлината,96.03,UTF-8-SIG,.txt
93,93 Силјан Раде Македонски раскази.txt,Силјан Раде,Македонски раскази,1572.87,UTF-8-SIG,.txt
94,94 Јоциќ Светлана Романи за деца 1.txt,Јоциќ Светлана,Романи за деца 1,2172.38,UTF-8-SIG,.txt
