file_number,merge_key,file_name,author_from_filename,author_from_catalog,title_from_filename,title_from_catalog,genre,source,year,year_clean,original_year,file_size_kb,encoding,_merge,language,cyrillic_ratio,has_mk_chars,has_sq_chars,detection_method,langdetect_result,genre_detected,genre_final,detection_notes,is_fiction,is_original_mk,text_category
39,39,39 Оливера Николова - Вежби за Ибн Пајко.txt,Оливера Николова,Николова Оливера,Вежби за Ибн Пајко,Вежби за ИБН Пајко,Проза,НИД „МИКЕНА“ - Битола,2008,2000.0,2000,485.66,UTF-8-SIG,both,mk,0.9994,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
40,40,40 Радован Павловски - Заштитна Повелба.txt,Радован Павловски,Павлоски Радован,Заштитна Повелба,Заштитна повелба,Поезија,НИД „МИКЕНА“ - Битола,2008,,,181.2,UTF-8-SIG,both,mk,0.9937,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 24.4, медиана: 24; каталог: Поезија",True,True,original_mk
41,41,"41 Јован Павловски - Само понатаму, во височините.txt",Јован Павловски,Павлоски Јован,"Само понатаму, во височините","Само понатаму, во височините",Поезија,НИД „МИКЕНА“ - Битола,2008,,,214.92,UTF-8-SIG,both,mk,0.9944,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 34.7, медиана: 37; каталог: Поезија",True,True,original_mk
42,42,42 Иван Чаповски - Црни Соколи - Бели Меглени.txt,Иван Чаповски,Чаповски Иван,Црни Соколи - Бели Меглени,Црни соколи - бели меглени,Поезија,НИД „МИКЕНА“ - Битола,2008,,,256.3,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 37.0, медиана: 33; каталог: Поезија",True,True,original_mk
43,43,43 Влада Урошевиќ - Непредвидени прошетки.txt,Влада Урошевиќ,Урошевиќ Влада,Непредвидени прошетки,Непредвидени прошетки,Поезија,НИД „МИКЕНА“ - Битола,2008,,,705.95,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,каталог: Поезија,True,True,original_mk
44,44,44 Богомил Ѓузел - Остров на копно.txt,Богомил Ѓузел,Ѓузел Богомил,Остров на копно,Оствор на копно,Поезија,НИД „МИКЕНА“ - Битола,2008,,,339.01,UTF-8-SIG,both,mk,0.9987,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 31.7, медиана: 32; каталог: Поезија",True,True,original_mk
45,45,45 Трајан Петровски - Босфорско Завештание.txt,Трајан Петровски,Петровски Трајан,Босфорско Завештание,Босфорско завештание,Поезија,НИД „МИКЕНА“ - Битола,2008,,,147.05,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 28.6, медиана: 29; каталог: Поезија",True,True,original_mk
46,46,46 Паскал Гилевски - Зоја.txt,Паскал Гилевски,Гилевски Паскал,Зоја,Зоја,Проза,НИД „МИКЕНА“ - Битола,2008,1986.0,1986,653.41,UTF-8-SIG,both,mk,0.9968,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
47,47,47 Ташко Ширилов - Тимотеј и Лидија.txt,Ташко Ширилов,Ширилов Ташко,Тимотеј и Лидија,Тимотеј и Лидија,Проза,НИД „МИКЕНА“ - Битола,2008,1999.0,1999,362.19,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
48,48,48 Петко Дабески - Наивности.txt,Петко Дабески,Дабески Петко,Наивности,Поезија,Поезија,НИД „МИКЕНА“ - Битола,2008,,,35.43,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,каталог: Поезија,True,True,original_mk
49,49,49 Чедо Јакимовски - Не будете ме ноќва.txt,Чедо Јакимовски,Јакимовски Чедо,Не будете ме ноќва,Не будете ме ноќва,Поезија,НИД „МИКЕНА“ - Битола,2008,,,104.83,UTF-8-SIG,both,mk,0.9993,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 34.3, медиана: 35; каталог: Поезија",True,True,original_mk
50,50,50 Гордана Михаилова - Бесконечното.txt,Гордана Михаилова,Михаилова Гордана,Бесконечното,Бесконечното,Поезија,НИД „МИКЕНА“ - Битола,2008,,,272.34,UTF-8-SIG,both,mk,0.9987,True,False,cyrillic_dominant + mk_specific_chars,mk,Поезија,Поезија,"средняя длина строки: 26.9, медиана: 19; каталог: Поезија",True,True,original_mk
51,51,51 Христо Крстевски - Ветришта над Равен.txt,Христо Крстевски,Крстев Христо,Ветришта над Равен,Ветришта над Равен,Проза,НИД „МИКЕНА“ - Битола,2008,,/,667.25,UTF-8-SIG,both,mk,1.0,True,False,cyrillic_dominant + mk_specific_chars,mk,Проза,Проза,жанр из каталога совпал или нет особых маркеров,True,True,original_mk
